time_sec	flow
75.953	0.059172727
75.957	0.058702171
75.961	0.056231737
75.965	0.060937323
75.969	0.063878313
75.973	0.059878565
75.977	0.065054707
75.981	0.064466514
75.985	0.06881918
75.989	0.06199608
75.993	0.071407251
75.997	0.069054455
76.001	0.065525271
76.005	0.073524766
76.009	0.069642656
76.013	0.061760802
76.017	0.070348494
76.021	0.068113342
76.025	0.067760423
76.029	0.05905509
76.033	0.060113847
76.037	0.054820064
76.041	0.052937828
76.045	0.061407883
76.049	0.055408262
76.053	0.058466893
76.057	0.062584281
76.061	0.059643287
76.065	0.049526282
76.069	0.051761433
76.073	0.053526025
76.077	0.043173742
76.081	0.047879327
76.085	0.045526534
76.089	0.039879832
76.093	0.039409272
76.097	0.058702171
76.101	0.04340902
76.105	0.05223199
76.109	0.046585288
76.113	0.040232752
76.117	0.036468282
76.121	0.035644803
76.125	0.030468661
76.129	0.031527419
76.133	0.035291888
76.137	0.041879706
76.141	0.038350515
76.145	0.044703055
76.149	0.049291
76.153	0.046114732
76.157	0.047173489
76.161	0.05270255
76.165	0.045879453
76.169	0.044820696
76.173	0.049408641
76.177	0.043056101
76.181	0.039291631
76.185	0.042467903
76.189	0.037174121
76.193	0.035409525
76.197	0.038938716
76.201	0.041409146
76.205	0.03752704
76.209	0.047761686
76.213	0.048467524
76.217	0.049055722
76.221	0.051879071
76.225	0.059996206
76.229	0.049291
76.233	0.051408514
76.237	0.051643793
76.241	0.037291758
76.245	0.035527166
76.249	0.035527166
76.253	0.029998103
76.257	0.035291888
76.261	0.033997849
76.265	0.046232369
76.269	0.037644677
76.273	0.049408641
76.277	0.05223199
76.281	0.041291505
76.285	0.050349757
76.289	0.043644298
76.293	0.038938716
76.297	0.036233004
76.301	0.037997596
76.305	0.032468535
76.309	0.027292391
76.313	0.032821454
76.317	0.029998103
76.321	0.023998482
76.325	0.032586176
76.329	0.027998229
76.333	0.02788059
76.337	0.027527671
76.341	0.025880717
76.345	0.020822212
76.349	0.018939979
76.353	0.021880969
76.357	0.014822592
76.361	0.010940485
76.365	0.010352287
76.369	0.003882108
76.373	-0.000823477
76.377	0.002117513
76.381	-0.006823098
76.385	-0.013999115
76.389	-0.019763457
76.393	-0.022233889
76.397	-0.033880211
76.401	-0.030703941
76.405	-0.036938842
76.409	-0.040115111
76.413	-0.041879706
76.417	-0.041291505
76.421	-0.053878944
76.425	-0.051055595
76.429	-0.057290494
76.433	-0.064466514
76.437	-0.065172352
76.441	-0.069877937
76.445	-0.067407504
76.449	-0.069172099
76.453	-0.064584151
76.457	-0.06493707
76.461	-0.068936817
76.465	-0.067760423
76.469	-0.067289859
76.473	-0.072818927
76.477	-0.070113212
76.481	-0.069172099
76.485	-0.074583516
76.489	-0.077406868
76.493	-0.076583393
76.497	-0.083641768
76.501	-0.088464998
76.505	-0.082818292
76.509	-0.090582505
76.513	-0.094699897
76.517	-0.081053697
76.521	-0.094346978
76.525	-0.094699897
76.529	-0.09070015
76.533	-0.096935049
76.537	-0.096111566
76.541	-0.104934543
76.545	-0.098111443
76.549	-0.106934413
76.553	-0.109522484
76.557	-0.103875786
76.561	-0.1122282
76.565	-0.108699009
76.569	-0.111404717
76.573	-0.108228453
76.577	-0.116110303
76.581	-0.110110685
76.585	-0.113992795
76.589	-0.117874898
76.593	-0.117757261
76.597	-0.117404342
76.601	-0.124227442
76.605	-0.121286452
76.609	-0.118816018
76.613	-0.125521481
76.617	-0.123286322
76.621	-0.117639624
