time_sec	pmask_cmH20
30.2892	4.31849432
30.2932	4.337095261
30.2972	4.325488091
30.3012	4.314104557
30.3052	4.32972908
30.3092	4.32630682
30.3132	4.308598995
30.3172	4.320131302
30.3212	4.316931725
30.3252	4.294834137
30.3292	4.300712109
30.3332	4.306887627
30.3372	4.28330183
30.3412	4.286427021
30.3452	4.296247959
30.3492	4.276977539
30.3532	4.270430088
30.3572	4.285161972
30.3612	4.269165516
30.3652	4.255698681
30.3692	4.26886797
30.3732	4.258674622
30.3772	4.239032269
30.3812	4.246100426
30.3852	4.24089241
30.3892	4.215000153
30.3932	4.221324444
30.3972	4.225267887
30.4012	4.203095436
30.4052	4.202054024
30.4092	4.208824635
30.4132	4.184123039
30.4172	4.176682472
30.4212	4.194167137
30.4252	4.17564106
30.4292	4.159272194
30.4332	4.169316769
30.4372	4.156445026
30.4412	4.136281967
30.4452	4.15212965
30.4492	4.150715828
30.4532	4.124228477
30.4572	4.130032063
30.4612	4.131073475
30.4652	4.109645844
30.4692	4.110092163
30.4732	4.119169235
30.4772	4.095211506
30.4812	4.091119289
30.4852	4.105106831
30.4892	4.088217735
30.4932	4.07519722
30.4972	4.086506367
30.5012	4.074304104
30.5052	4.054438591
30.5092	4.066417694
30.5132	4.060614109
30.5172	4.033754826
30.5212	4.038516521
30.5252	4.041194916
30.5292	4.016790867
30.5332	4.022073269
30.5372	4.032043457
30.5412	4.01292181
30.5452	4.008011341
30.5492	4.020808697
30.5532	4.008011341
30.5572	4.00101757
30.5612	4.018948555
30.5652	4.002505302
30.5692	3.981226206
30.5732	3.991345167
30.5772	3.990972996
30.5812	3.976166964
30.5852	3.987922668
30.5892	3.986136913
30.5932	3.959203005
30.5972	3.963592768
30.6012	3.983160734
30.6052	3.968280315
30.6092	3.96522975
30.6132	3.973637104
30.6172	3.949530602
30.6212	3.942239285
30.6252	3.961286306
30.6292	3.958235741
30.6332	3.945363998
30.6372	3.959947109
30.6412	3.951390743
30.6452	3.931599617
30.6492	3.948340178
30.6532	3.95674777
30.6572	3.939560652
30.6612	3.943801641
30.6652	3.954664469
30.6692	3.935914993
30.6732	3.944322586
30.6772	3.963964939
30.6812	3.953250885
30.6852	3.945438623
30.6892	3.966643333
30.6932	3.964708805
30.6972	3.961658239
30.7012	3.986806631
30.7052	3.987401724
30.7092	3.972372293
30.7132	3.982565641
30.7172	3.990080357
30.7212	3.975199699
30.7252	3.992386818
30.7292	4.008606434
30.7332	3.995139599
30.7372	4.000794411
30.7412	4.021701336
30.7452	4.017311573
30.7492	4.020064354
30.7532	4.042385578
30.7572	4.029885769
30.7612	4.018799782
30.7652	4.035540581
30.7692	4.03665638
30.7732	4.022520065
30.7772	4.037921429
30.7812	4.041715622
30.7852	4.021850109
30.7892	4.033606052
30.7932	4.046403408
30.7972	4.034647465
30.8012	4.038665295
30.8052	4.049676895
30.8092	4.02899313
30.8132	4.023859024
30.8172	4.04365015
30.8212	4.036953926
30.8252	4.028471947
30.8292	4.042087555
30.8332	4.033457279
30.8372	4.017460346
30.8412	4.035093784
30.8452	4.044543266
30.8492	4.030852795
30.8532	4.036284447
30.8572	4.044840813
30.8612	4.027728081
30.8652	4.034126759
30.8692	4.051165104
30.8732	4.035316944
30.8772	4.026165485
30.8812	4.038218975
30.8852	4.027281761
30.8892	4.021626949
30.8932	4.042088032
30.8972	4.037325859
30.9012	4.017014027
30.9052	4.026611805
30.9092	4.028695107
30.9132	4.007267475
30.9172	4.014856339
30.9212	4.018502235
