time_sec	pepi_cmH20
73.81316	11.90860462
73.81716	11.97101402
73.82116	12.03342342
73.82516	11.97101402
73.82916	11.88780117
73.83316	12.07503033
73.83716	12.01262093
73.84116	11.97101402
73.84516	11.97101402
73.84916	12.01262093
73.85316	11.95021057
73.85716	11.92940807
73.86116	12.01262093
73.86516	11.90860462
73.86916	11.88780117
73.87316	11.99181747
73.87716	11.86699772
73.88116	11.90860462
73.88516	11.95021057
73.88916	11.92940807
73.89316	11.95021057
73.89716	11.90860462
73.90116	11.95021057
73.90516	11.80458832
73.90916	11.95021057
73.91316	11.95021057
73.91716	11.82539177
73.92116	11.90860462
73.92516	11.95021057
73.92916	11.80458832
73.93316	11.84619427
73.93716	11.95021057
73.94116	11.80458832
73.94516	11.78378487
73.94916	11.97101402
73.95316	11.84619427
73.95716	11.76298141
73.96116	11.82539177
73.96516	11.84619427
73.96916	11.70057201
73.97316	11.80458832
73.97716	11.78378487
73.98116	11.70057201
73.98516	11.76298141
73.98916	11.76298141
73.99316	11.74217892
73.99716	11.76298141
74.00116	11.84619427
74.00516	11.72137547
74.00916	11.70057201
74.01316	11.76298141
74.01716	11.72137547
74.02116	11.61735916
74.02516	11.76298141
74.02916	11.74217892
74.03316	11.65896606
74.03716	11.76298141
74.04116	11.67976856
74.04516	11.70057201
74.04916	11.74217892
74.05316	11.78378487
74.05716	11.65896606
74.06116	11.70057201
74.06516	11.82539177
74.06916	11.67976856
74.07316	11.70057201
74.07716	11.74217892
74.08116	11.70057201
74.08516	11.63816261
74.08916	11.78378487
74.09316	11.76298141
74.09716	11.61735916
74.10116	11.72137547
74.10516	11.74217892
74.10916	11.65896606
74.11316	11.74217892
74.11716	11.67976856
74.12116	11.57575321
74.12516	11.67976856
74.12916	11.67976856
74.13316	11.65896606
74.13716	11.65896606
74.14116	11.76298141
74.14516	11.61735916
74.14916	11.45093346
74.15316	11.61735916
74.15716	11.59655571
74.16116	11.49253941
74.16516	11.55494976
74.16916	11.51334286
74.17316	11.47173691
74.17716	11.43013
74.18116	11.51334286
74.18516	11.3261137
74.18916	11.38852406
