x0000	y0000
27.160597	0.513077416
27.201343	0.497515105
27.242362	0.47644613
27.284705	0.487698878
27.334027	0.593043751
27.3763	0.566228693
27.420425	0.592325491
27.463158	0.57676318
27.506168	0.474530769
27.547838	0.357933148
27.590743	0.237983645
27.633673	0.192254393
27.676593	0.261207401
27.721893	0.301669409
27.764861	0.27389667
27.806538	0.255940158
27.849221	0.237983645
27.89421	0.250433494
27.939521	0.217154091
27.987977	0.234631763
28.034552	0.190099612
28.080505	0.240617267
28.12358	0.198718738
28.164263	0.159693251
28.205418	0.085472999
28.250295	0.071347209
28.297013	0.1151611
28.343433	0.061291563
28.387464	0.063685764
28.433667	0.017717092
28.476686	0.058418521
28.51704	0
28.557266	-0.020590134
28.597659	-0.004070143
28.640653	0.006943185
28.681475	0.009337386
28.721564	-0.017717092
28.762298	-0.01412579
28.803399	-0.031603462
28.846715	-0.112048638
28.890288	-0.240377847
28.931265	-0.453940635
28.974981	-0.666306322
29.021198	-0.612436785
29.064855	-0.694318481
29.108459	-0.708923112
29.151983	-0.982101521
29.195447	-1.208114158
29.239023	-1.205719956
29.28229	-1.160230125
29.322695	-1.495418357
29.363381	-1.54306297
29.408849	-1.433408534
29.450668	-1.325908879
29.495227	-1.380257257
29.539869	-1.422155786
29.58719	-1.429577811
29.630978	-1.303642804
29.673919	-1.386003341
29.716536	-1.253843409
29.757038	-1.472194601
29.800178	-1.28329209
29.8438	-1.125993041
29.888356	-1.238759939
29.931151	-0.969412252
29.973633	-0.82240827
30.013939	-0.892558379
30.054337	-0.92296474
30.094607	-0.904289967
30.137367	-0.760637867
30.17818	-0.662475599
30.2186	-0.539413634
30.259888	-0.574368978
30.303568	-0.488177719
30.348464	-0.51978118
30.391841	-0.441969627
30.434904	-0.386424148
30.478143	-0.424013114
30.521817	-0.330160409
30.566822	-0.299035787
30.609643	-0.349314022
30.65221	-0.305260712
30.696948	-0.282276376
30.739469	-0.282755216
30.783832	-0.18698715
30.824216	-0.246123931
30.869478	-0.249236393
30.913076	-0.224097275
30.953722	-0.188184251
30.996088	-0.111809218
31.037249	-0.073980831
31.077418	-0.061052142
31.117824	-0.005746084
31.158307	0.019632454
31.199158	0.039743748
31.241789	0.116597621
31.281993	0.108696755
31.322745	-0.021787235
31.36388	0.099838209
31.406231	0.2018312
31.446765	0.265516964
31.487385	0.383311686
31.529784	0.571974777
31.570112	0.696233843
31.610448	0.82240827
31.650966	0.86526448
31.691506	0.869095203
31.732068	0.718499918
31.772276	0.652659373
31.812766	0.625365474
31.853144	0.675164868
31.893443	0.723048901
31.933803	0.691206019
31.976608	0.636857642
32.017756	0.667503423
32.058208	0.628477936
32.098583	0.560722029
32.13877	0.531033928
32.179171	0.482431635
32.219686	0.44675803
32.260013	0.31747114
32.300528	0.43287166
32.344219	0.460165559
32.38507	0.429759198
32.43085	0.347159241
32.477078	0.342370837
32.521024	0.249715233
32.564836	0.225773217
32.608685	0.250912334
32.652961	0.271263048
32.695854	0.256418998
32.736726	0.238941326
32.777906	0.27437551
32.822305	0.143412679
32.86628	0.190817872
32.910391	0.11540052
32.954511	0.135751234
32.997582	0.148919343
33.038682	0.089543142
33.080437	0.119470663
33.123541	0.08595184
33.164223	0.05770026
33.204906	0.047405193
33.245663	0.056982
33.286493	0.039743748
33.328752	0.073741411
33.372539	0.083078798
33.416524	0.035434185
33.460616	0.017238252
33.506453	0.015801731
