x0000,y0000
3.774532,-0.2796427539,
3.815082,-0.2592920398,
3.85544,-0.1833958472,
3.898237,-0.1800439648,
3.939089,-0.1915361328,
3.979504,-0.1838746875,
4.020097,-0.126892688,
4.060639,-0.1156399402,
4.101298,-0.108217915,
4.141831,-0.08212111694,
4.182392,-0.06919242798,
4.22296,-0.09193734375,
4.263435,-0.08762778076,
4.303977,-0.0986411084,
4.344436,-0.1115697974,
4.384789,-0.1201889233,
4.425199,-0.240856687,
4.465946,-0.1620874524,
4.506268,-0.1039083521,
4.546847,-0.111090957,
4.587324,-0.1319205115,
4.627735,-0.08140285645,
4.668309,-0.2214636536,
4.708876,-0.2468421912,
4.749404,-0.1587355701,
4.789857,-0.004309562988,
4.830604,0.1553836877,
4.871173,0.2231395947,
4.913996,0.5080495923,
4.954913,0.7522581616,
4.995262,0.9090783704,
5.035808,0.9962273108,
5.076266,1.028309613,
5.116682,1.121444058,
5.157581,1.107797108,
5.198019,1.090798276,
5.23852,1.130781444,
5.278894,1.093431898,
5.319504,1.043632504,
5.359875,0.9895235461,
5.400366,1.091516537,
5.440663,1.058237134,
5.481072,0.8822633118,
5.521626,0.9830592017,
5.561942,0.9940725293,
5.602468,0.918655177,
5.64298,0.904289967,
5.683449,0.9009380847,
5.723678,0.8236053711,
5.764042,0.8171410266,
5.804388,0.8410830432,
5.844647,0.7673416321,
5.885282,0.7999027747,
5.925713,0.7584830859,
5.966163,0.6248866333,
6.006503,0.5942408521,
6.04705,0.5774814404,
6.087668,0.5054159705,
6.130452,0.4644751221,
6.171508,0.4869806177,
6.211998,0.4596867188,
6.252508,0.4783614917,
6.293048,0.4077325427,
6.333513,0.3739742993,
6.37384,0.3703829968,
6.414254,0.2875436194,
6.454833,0.3019088293,
6.495225,0.2700659473,
6.535907,0.1668758557,
6.576328,0.1417367383,
6.617122,0.1939303345,
6.657442,0.1410184778,
6.697989,0.1118092175,
6.73847,0.1740584607,
6.77891,0.1132457385,
6.819459,0.1357512341,
6.859967,0.1113303772,
6.900535,0.08810662109,
6.940978,0.07493851196,
6.981448,0.03303998291,
7.021851,0.05123591553,
